Year, Month,Australia,Chile,China,Switzerland,USA
1991,1,28.3242,12.5839,-8.0178,-0.0943,-6.0482
1991,2,28.0315,12.0689,-4.6816,-2.4084,-1.5655
1991,3,25.7937,10.93,0.48876,5.01769,0.93979
1991,4,22.2785,8.75411,7.45466,4.02178,7.20034
1991,5,18.3553,6.59379,12.9942,7.28226,13.4703
1991,6,16.7118,4.51383,17.4712,12.2518,17.9005
1991,7,14.5718,3.72548,19.7263,16.9499,20.0899
1991,8,16.1061,4.07168,18.6689,17.0974,19.2929
1991,9,19.6324,6.59047,14.1452,14.0728,15.0592
1991,10,24.1281,7.66671,7.39834,6.23461,8.28441
1991,11,25.3554,10.0804,-0.471,2.35385,-0.8618
1991,12,26.7761,10.3808,-6.3018,-1.1207,-3.105
1992,1,27.5106,13.4852,-7.4963,-2.2142,-3.9885
1992,2,27.5406,11.5625,-5.2065,-0.4292,-2.1265
1992,3,26.5707,11.6188,0.5466,3.67623,1.67409
1992,4,22.7398,8.76396,8.65812,6.07053,6.50207
1992,5,18.2563,5.76222,12.9631,11.9386,12.1373
1992,6,15.1668,3.77727,16.5804,12.1215,16.9904
1992,7,14.6894,2.78413,18.9732,15.7801,19.2294
1992,8,15.8972,4.86908,18.1065,17.262,18.0289
1992,9,18.6738,6.05794,13.515,12.0228,13.768
1992,10,21.7909,7.72532,6.53552,5.35909,7.40718
1992,11,23.8414,10.2062,-1.0847,3.74996,0.06429
1992,12,26.3432,11.895,-5.6755,-0.5935,-5.1176
1993,1,28.4304,12.5885,-8.8825,0.17243,-5.8157
1993,2,26.9588,12.5519,-3.1101,-0.7717,-4.5406
1993,3,25.6713,11.4958,1.57175,2.32009,0.7792
1993,4,23.2226,8.50447,7.65387,6.36962,6.60455
1993,5,18.5364,5.85123,12.4541,10.6229,13.1405
1993,6,14.677,4.1682,16.9317,14.1197,17.0097
1993,7,14.9859,4.0063,18.8958,14.0917,19.9716
1993,8,16.3864,5.39574,17.6266,15.0083,18.9324
1993,9,18.9677,6.40481,13.954,10.2171,13.8122
1993,10,21.8302,8.60083,6.98693,5.97566,8.0887
1993,11,25.7259,9.97821,-0.8365,0.57959,-0.187
1993,12,26.2442,11.6275,-6.4497,0.8609,-2.8065
1994,1,28.6267,13.0856,-7.4931,0.92949,-5.6681
1994,2,27.1196,11.5265,-4.8913,0.42023,-5.0267
1994,3,24.6882,11.1871,-0.0707,5.44008,1.04255
1994,4,21.7979,8.57471,8.59729,5.0143,7.20645
1994,5,18.3364,6.33797,13.9051,9.79266,12.9606
1994,6,14.9986,4.76839,17.7695,14.062,18.3181
1994,7,14.3905,3.66054,20.1674,18.2101,20.353
1994,8,15.3938,4.91349,19.2081,16.6869,19.4339
1994,9,19.2431,6.61864,13.9647,11.5392,14.9931
1994,10,23.0566,8.21102,6.85597,6.96835,7.79232
1994,11,25.289,10.3565,1.59605,5.87297,0.13588
1994,12,27.8109,12.2159,-5.4667,1.26066,-3.2141
1995,1,28.0108,12.4837,-8.235,-1.0436,-4.3758
1995,2,26.6973,11.8407,-4.4737,3.02166,-2.1929
1995,3,24.7041,10.5733,1.00944,1.76955,0.2196
1995,4,21.1619,9.13036,7.18657,5.65989,6.47977
1995,5,17.4448,6.84824,13.4273,9.32861,12.4276
1995,6,15.3054,4.22429,17.9003,11.9196,17.1826
1995,7,14.4588,2.78712,19.3969,17.6508,20.2503
1995,8,16.9725,3.60648,18.4723,14.5429,20.0201
1995,9,20.1361,6.24645,14.3186,9.6928,15.3624
1995,10,22.3639,8.30879,8.12577,10.5102,8.33333
1995,11,25.4998,10.2261,0.49207,2.42198,0.01295
1995,12,26.5383,12.794,-6.02,-0.498,-4.1472
1996,1,27.9627,11.9115,-8.4856,-0.1944,-6.8235
1996,2,27.4632,11.5398,-5.4202,-1.5435,-3.5703
1996,3,25.5525,11.0979,0.48012,0.26225,-0.2155
1996,4,21.6171,7.97363,7.00633,5.90772,5.99605
1996,5,18.2422,6.89804,13.3859,9.04782,12.8013
1996,6,16.7747,3.45253,17.132,13.9228,17.9778
1996,7,14.9158,4.34982,19.3268,14.3671,20.1886
1996,8,16.3619,5.19208,18.2861,13.6565,18.9605
1996,9,19.6355,6.94847,14.0939,9.01962,13.828
1996,10,23.0268,8.4069,7.40095,7.03178,6.7691
1996,11,25.1846,10.2403,-0.6447,2.95408,-0.6427
1996,12,26.9924,11.7495,-5.6713,-0.6585,-4.5711
1997,1,27.3482,12.6841,-7.6502,-2.4415,-6.5211
1997,2,28.0413,11.3805,-5.0384,1.49112,-2.0453
1997,3,24.7509,11.6234,2.44518,5.41072,0.55369
1997,4,22.0288,9.40289,8.51255,4.71093,4.81853
1997,5,17.7702,7.02028,13.9152,9.97042,12.0507
1997,6,14.786,4.81283,17.4933,12.9351,17.4066
1997,7,13.4077,4.67712,19.972,14.0924,19.9506
1997,8,15.6432,5.24122,19.0626,16.5585,19.0516
1997,9,20.1696,6.82219,13.2663,13.3712,15.7442
1997,10,23.0439,8.242,7.28591,7.74162,7.16101
1997,11,25.9035,10.3934,-0.5056,3.07703,0.78698
1997,12,27.8428,12.2759,-6.2413,0.23448,-4.0951
1998,1,28.6697,12.9205,-8.7959,0.6409,-3.9887
1998,2,28.4772,13.1309,-2.8008,2.38658,-1.3943
1998,3,26.5492,11.2957,1.33069,3.60522,1.05101
1998,4,22.291,9.16311,9.91695,4.88971,7.13169
1998,5,19.253,7.38319,13.634,11.5826,13.4804
1998,6,15.4417,5.40084,17.8139,13.7422,17.0844
1998,7,14.2722,5.40959,19.947,15.3535,20.847
1998,8,17.2271,5.27819,18.803,15.4864,19.5461
1998,9,20.1717,5.84445,15.2471,11.2964,16.5227
1998,10,23.1074,8.71661,8.81088,7.65112,8.50621
1998,11,25.185,10.2188,0.74716,0.33457,2.12893
1998,12,26.9649,12.0391,-4.6898,-0.5402,-3.5139
1999,1,28.9983,12.8652,-6.716,-0.6215,-5.3647
1999,2,27.0253,12.6558,-2.499,-1.1887,-2.8118
1999,3,25.8202,10.8079,0.52734,2.84393,0.09581
1999,4,20.8293,8.33054,8.9221,5.5543,6.05264
1999,5,18.9693,6.32766,13.5095,11.5344,12.0167
1999,6,15.2988,3.80033,17.7583,12.9388,17.2406
1999,7,14.6995,3.72975,19.9978,16.1263,20.224
1999,8,16.5643,5.19142,18.6238,14.8425,19.4469
1999,9,20.3534,6.53668,14.9613,13.6134,14.3906
1999,10,22.9563,8.82819,7.81546,7.46497,7.67338
1999,11,23.5455,10.5887,0.33017,1.37208,2.31753
1999,12,25.7537,11.6879,-5.5584,-0.6737,-3.9927
2000,1,26.8521,12.4928,-8.7686,-2.0781,-4.8978
2000,2,27.0208,11.6899,-6.1966,0.96636,-0.2944
2000,3,25.1281,10.2869,1.32536,4.11408,2.38508
2000,4,21.4853,8.76166,8.30946,6.39334,6.61306
2000,5,16.428,6.18344,14.593,11.5702,12.8513
2000,6,13.9657,4.27445,18.0814,15.5331,17.4026
2000,7,14.7134,3.27258,20.5313,13.58,19.8594
2000,8,15.6791,4.75241,18.7915,15.6899,19.3451
2000,9,20.6991,5.24887,14.5266,12.892,14.5289
2000,10,21.9296,8.27556,6.97374,8.69054,8.1762
2000,11,25.3254,9.4395,-1.4368,3.81396,-0.6575
2000,12,26.8568,11.3761,-5.6817,2.3913,-5.4792
2001,1,29.0503,12.2867,-8.1598,-0.6629,-3.8619
2001,2,27.4861,12.4925,-4.5802,0.76906,-3.0089
2001,3,24.3456,10.4976,1.63008,5.09741,-0.0083
2001,4,21.8875,8.3982,7.94757,5.16753,7.12103
2001,5,17.337,5.74073,14.0547,12.6367,12.5613
2001,6,15.4381,4.40119,18.115,12.2534,17.6893
2001,7,14.2907,3.34721,20.515,15.8339,20.2631
2001,8,15.7207,4.93144,18.7982,16.0171,19.8456
2001,9,19.7945,6.19492,14.5355,9.01487,15.2009
2001,10,21.1172,8.69306,8.46243,10.9609,7.39831
2001,11,24.3796,9.3842,1.00337,1.18807,2.32349
2001,12,26.0031,12.456,-7.0742,-1.3421,-3.7176
2002,1,27.5946,12.463,-6.0785,-0.6001,-3.1715
2002,2,26.1466,12.4923,-2.2852,2.22129,-2.7628
